,start_station_id,start_date_only,time_slot,y,isWeekday,season,isPeakHour,isHoliday,ds
160,3,2018-04-28,0,1,False,1,False,False,
161,3,2018-03-21,1,8,True,1,True,False,
162,3,2018-02-15,2,8,True,0,False,True,
163,3,2018-01-14,3,22,False,0,True,False,
164,3,2018-04-16,4,30,True,1,False,False,
165,3,2018-01-06,5,1,False,0,False,False,
166,3,,0,1,False,0,False,False,
167,3,2018-04-24,1,12,True,1,True,False,
168,3,2018-04-16,2,16,True,1,False,False,
169,3,2018-04-25,3,26,True,1,True,False,
170,3,,4,19,False,0,False,False,
171,3,,5,1,False,0,False,False,
172,3,,0,1,False,0,False,False,
173,3,2018-04-12,1,3,True,1,True,False,
174,3,2018-03-14,2,15,True,1,False,False,
175,3,2018-02-15,3,22,True,0,True,True,
176,3,,4,15,False,0,False,False,
177,3,,5,6,False,0,False,False,
178,3,,1,5,False,0,True,False,
179,3,,2,10,False,0,False,False,
180,3,,3,20,False,0,True,False,
181,3,,4,6,False,0,False,False,
182,3,,5,2,False,0,False,False,
183,3,,1,14,False,0,True,False,
184,3,,2,6,False,0,False,False,
185,3,,3,20,False,0,True,False,
186,3,,4,26,False,0,False,False,
187,3,,5,4,False,0,False,False,
188,3,,0,1,False,0,False,False,
189,3,,1,13,False,0,True,False,
190,3,,2,20,False,0,False,False,
191,3,,3,16,False,0,True,False,
192,3,,4,29,False,0,False,False,
193,3,,5,1,False,0,False,False,
194,3,,0,1,False,0,False,False,
195,3,,1,19,False,0,True,False,
196,3,,2,16,False,0,False,False,
197,3,,3,24,False,0,True,False,
198,3,,4,22,False,0,False,False,
199,3,,5,1,False,0,False,False,
200,3,,0,1,False,0,False,False,
201,3,,1,10,False,0,True,False,
202,3,,2,20,False,0,False,False,
203,3,,3,31,False,0,True,False,
204,3,,4,26,False,0,False,False,
205,3,,5,5,False,0,False,False,
206,3,,0,1,False,0,False,False,
207,3,,1,14,False,0,True,False,
208,3,,2,20,False,0,False,False,
209,3,,3,14,False,0,True,False,
